"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sad_hertz"
2026-07-29 03:27:15,19.1 MiB,7.44 MiB,7.41 MiB,99.2 MiB,170 MiB,158 MiB,162 MiB,158 MiB,230 MiB,234 MiB,121 MiB,
2026-07-29 03:27:30,18.3 MiB,7.28 MiB,7.18 MiB,99.2 MiB,173 MiB,158 MiB,163 MiB,158 MiB,230 MiB,234 MiB,121 MiB,
2026-07-29 03:27:45,19.8 MiB,7.57 MiB,7.45 MiB,99.2 MiB,173 MiB,165 MiB,164 MiB,162 MiB,234 MiB,235 MiB,121 MiB,
2026-07-29 03:28:00,17.7 MiB,7.74 MiB,7.45 MiB,99.2 MiB,169 MiB,165 MiB,164 MiB,166 MiB,240 MiB,236 MiB,121 MiB,
2026-07-29 03:28:15,18.8 MiB,7.74 MiB,7.35 MiB,99.2 MiB,174 MiB,165 MiB,158 MiB,166 MiB,240 MiB,238 MiB,121 MiB,
2026-07-29 03:28:30,21.2 MiB,9.07 MiB,8.62 MiB,99.2 MiB,186 MiB,165 MiB,163 MiB,169 MiB,254 MiB,239 MiB,121 MiB,
2026-07-29 03:28:45,17.6 MiB,7.89 MiB,7.97 MiB,99.2 MiB,180 MiB,174 MiB,163 MiB,170 MiB,251 MiB,243 MiB,121 MiB,
2026-07-29 03:29:00,18.6 MiB,7.38 MiB,7.97 MiB,99.2 MiB,178 MiB,168 MiB,171 MiB,167 MiB,243 MiB,245 MiB,118 MiB,
2026-07-29 03:29:15,18.6 MiB,7.38 MiB,8.10 MiB,99.2 MiB,184 MiB,166 MiB,172 MiB,160 MiB,251 MiB,248 MiB,118 MiB,
2026-07-29 03:29:30,18.7 MiB,7.66 MiB,7.58 MiB,99.2 MiB,184 MiB,171 MiB,170 MiB,166 MiB,252 MiB,250 MiB,118 MiB,
2026-07-29 03:29:45,21.0 MiB,7.71 MiB,7.58 MiB,99.2 MiB,177 MiB,167 MiB,170 MiB,167 MiB,252 MiB,248 MiB,118 MiB,
2026-07-29 03:30:00,17.7 MiB,8.42 MiB,7.63 MiB,99.2 MiB,182 MiB,167 MiB,162 MiB,169 MiB,254 MiB,249 MiB,118 MiB,
2026-07-29 03:30:15,18.3 MiB,8.18 MiB,7.98 MiB,99.2 MiB,181 MiB,177 MiB,171 MiB,169 MiB,261 MiB,250 MiB,118 MiB,
2026-07-29 03:30:30,18.3 MiB,7.71 MiB,7.59 MiB,99.2 MiB,179 MiB,170 MiB,171 MiB,169 MiB,262 MiB,255 MiB,118 MiB,
2026-07-29 03:30:45,18.8 MiB,7.42 MiB,7.30 MiB,99.2 MiB,183 MiB,167 MiB,168 MiB,169 MiB,258 MiB,255 MiB,119 MiB,
2026-07-29 03:31:00,18.2 MiB,7.93 MiB,9.04 MiB,99.1 MiB,184 MiB,179 MiB,172 MiB,177 MiB,265 MiB,255 MiB,115 MiB,
2026-07-29 03:31:15,18.2 MiB,7.73 MiB,7.93 MiB,99.1 MiB,184 MiB,167 MiB,182 MiB,177 MiB,264 MiB,255 MiB,115 MiB,
2026-07-29 03:31:30,15.3 MiB,7.50 MiB,7.93 MiB,99.1 MiB,174 MiB,171 MiB,173 MiB,164 MiB,264 MiB,260 MiB,115 MiB,
2026-07-29 03:31:45,17.6 MiB,8.60 MiB,7.68 MiB,99.1 MiB,181 MiB,173 MiB,168 MiB,171 MiB,267 MiB,260 MiB,115 MiB,
2026-07-29 03:32:00,19.6 MiB,7.70 MiB,8.21 MiB,99.1 MiB,181 MiB,173 MiB,168 MiB,171 MiB,278 MiB,264 MiB,115 MiB,
2026-07-29 03:32:15,21.2 MiB,8.21 MiB,8.27 MiB,99.1 MiB,190 MiB,184 MiB,178 MiB,164 MiB,278 MiB,269 MiB,115 MiB,
2026-07-29 03:32:30,21.2 MiB,7.74 MiB,8.27 MiB,99.1 MiB,190 MiB,176 MiB,172 MiB,169 MiB,273 MiB,269 MiB,115 MiB,
