"Time","cadvisor","compassionate_colden","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","reverent_euclid"
2026-07-30 00:38:45,19.6 MiB,,8.39 MiB,8.12 MiB,117 MiB,160 MiB,157 MiB,159 MiB,161 MiB,256 MiB,249 MiB,81.1 MiB,
2026-07-30 00:39:00,21.7 MiB,,8.04 MiB,8.13 MiB,117 MiB,161 MiB,157 MiB,160 MiB,161 MiB,256 MiB,246 MiB,81.1 MiB,
2026-07-30 00:39:15,21 MiB,,8.04 MiB,9.18 MiB,117 MiB,164 MiB,157 MiB,160 MiB,158 MiB,249 MiB,251 MiB,81.2 MiB,
2026-07-30 00:39:30,21.6 MiB,,8.21 MiB,8.18 MiB,117 MiB,161 MiB,157 MiB,160 MiB,161 MiB,251 MiB,252 MiB,85.3 MiB,
2026-07-30 00:39:45,20.1 MiB,,7.79 MiB,7.98 MiB,117 MiB,162 MiB,157 MiB,160 MiB,160 MiB,253 MiB,249 MiB,85.3 MiB,
2026-07-30 00:40:00,22.7 MiB,,8.26 MiB,7.98 MiB,117 MiB,162 MiB,158 MiB,159 MiB,159 MiB,258 MiB,255 MiB,85.3 MiB,
2026-07-30 00:40:15,19.0 MiB,,8.26 MiB,8.71 MiB,116 MiB,169 MiB,158 MiB,163 MiB,159 MiB,263 MiB,255 MiB,85.3 MiB,
2026-07-30 00:40:30,19.0 MiB,,7.89 MiB,8.13 MiB,116 MiB,162 MiB,158 MiB,159 MiB,156 MiB,256 MiB,255 MiB,87.5 MiB,
2026-07-30 00:40:45,20.8 MiB,,7.89 MiB,8.66 MiB,116 MiB,163 MiB,157 MiB,162 MiB,157 MiB,256 MiB,258 MiB,89.7 MiB,
2026-07-30 00:41:00,20.1 MiB,,8.64 MiB,8.22 MiB,116 MiB,161 MiB,156 MiB,162 MiB,158 MiB,262 MiB,259 MiB,89.7 MiB,
2026-07-30 00:41:15,21.2 MiB,,8.67 MiB,8.16 MiB,116 MiB,160 MiB,156 MiB,161 MiB,158 MiB,262 MiB,260 MiB,89.7 MiB,
2026-07-30 00:41:30,19.9 MiB,,8.13 MiB,8.39 MiB,116 MiB,164 MiB,154 MiB,162 MiB,157 MiB,264 MiB,260 MiB,89.7 MiB,
2026-07-30 00:41:45,21.4 MiB,,7.85 MiB,8.33 MiB,116 MiB,159 MiB,155 MiB,161 MiB,159 MiB,260 MiB,266 MiB,89.7 MiB,
2026-07-30 00:42:00,22.5 MiB,,7.85 MiB,8.34 MiB,116 MiB,160 MiB,156 MiB,160 MiB,158 MiB,260 MiB,267 MiB,89.7 MiB,
2026-07-30 00:42:15,22.3 MiB,,8.21 MiB,9.11 MiB,116 MiB,160 MiB,157 MiB,161 MiB,163 MiB,260 MiB,267 MiB,89.7 MiB,
2026-07-30 00:42:30,18.8 MiB,,8.26 MiB,8 MiB,116 MiB,162 MiB,155 MiB,154 MiB,159 MiB,267 MiB,267 MiB,89.7 MiB,
2026-07-30 00:42:45,18.8 MiB,,8.26 MiB,8.21 MiB,116 MiB,162 MiB,157 MiB,154 MiB,160 MiB,269 MiB,267 MiB,89.7 MiB,
2026-07-30 00:43:00,20.0 MiB,,8.12 MiB,8.21 MiB,116 MiB,159 MiB,157 MiB,162 MiB,160 MiB,272 MiB,269 MiB,69.1 MiB,
2026-07-30 00:43:15,20.0 MiB,,8.12 MiB,8.54 MiB,116 MiB,159 MiB,159 MiB,162 MiB,160 MiB,277 MiB,269 MiB,69.1 MiB,
2026-07-30 00:43:30,20.3 MiB,,9.49 MiB,7.93 MiB,116 MiB,163 MiB,158 MiB,162 MiB,158 MiB,277 MiB,276 MiB,69.2 MiB,
