"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dreamy_ardinghelli","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 02:03:15,19.7 MiB,8.48 MiB,8.86 MiB,,110 MiB,173 MiB,166 MiB,171 MiB,166 MiB,309 MiB,294 MiB,106 MiB
2026-07-30 02:03:30,20.6 MiB,7.95 MiB,8.52 MiB,,109 MiB,173 MiB,169 MiB,171 MiB,168 MiB,306 MiB,294 MiB,106 MiB
2026-07-30 02:03:45,19.1 MiB,8.62 MiB,8.52 MiB,,109 MiB,176 MiB,169 MiB,169 MiB,168 MiB,306 MiB,294 MiB,106 MiB
2026-07-30 02:04:00,20.1 MiB,8.83 MiB,8.42 MiB,,108 MiB,176 MiB,169 MiB,169 MiB,166 MiB,310 MiB,296 MiB,106 MiB
2026-07-30 02:04:15,17.4 MiB,8.65 MiB,8.93 MiB,,107 MiB,182 MiB,176 MiB,177 MiB,177 MiB,321 MiB,296 MiB,106 MiB
2026-07-30 02:04:30,17.4 MiB,8.23 MiB,9.11 MiB,,107 MiB,173 MiB,174 MiB,169 MiB,168 MiB,314 MiB,300 MiB,101 MiB
2026-07-30 02:04:45,20.0 MiB,8.64 MiB,8.53 MiB,,107 MiB,178 MiB,168 MiB,172 MiB,171 MiB,314 MiB,306 MiB,101 MiB
2026-07-30 02:05:00,18.4 MiB,8.38 MiB,8.52 MiB,,105 MiB,180 MiB,167 MiB,169 MiB,174 MiB,332 MiB,304 MiB,101 MiB
2026-07-30 02:05:15,20.1 MiB,8.38 MiB,8.52 MiB,,104 MiB,175 MiB,169 MiB,170 MiB,166 MiB,313 MiB,303 MiB,101 MiB
2026-07-30 02:05:30,17.5 MiB,7.82 MiB,9.30 MiB,,102 MiB,175 MiB,169 MiB,175 MiB,170 MiB,313 MiB,303 MiB,101 MiB
2026-07-30 02:05:45,19.2 MiB,8.46 MiB,8.35 MiB,,102 MiB,179 MiB,169 MiB,173 MiB,173 MiB,313 MiB,301 MiB,101 MiB
