"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","focused_wilson","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peaceful_franklin","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 03:14:15,17.2 MiB,8.37 MiB,8.61 MiB,,99.1 MiB,188 MiB,189 MiB,186 MiB,185 MiB,,286 MiB,315 MiB,95.1 MiB
2026-07-30 03:14:30,18.5 MiB,8.56 MiB,8.61 MiB,,99.1 MiB,188 MiB,189 MiB,186 MiB,185 MiB,,284 MiB,315 MiB,95.1 MiB
2026-07-30 03:14:45,18.1 MiB,8.64 MiB,8.61 MiB,,99.2 MiB,188 MiB,189 MiB,186 MiB,185 MiB,,284 MiB,315 MiB,95.2 MiB
2026-07-30 03:15:00,18.1 MiB,8.16 MiB,8.61 MiB,,99.2 MiB,188 MiB,189 MiB,186 MiB,185 MiB,,285 MiB,315 MiB,95.2 MiB
2026-07-30 03:15:15,18.9 MiB,8.38 MiB,8.61 MiB,,99.1 MiB,188 MiB,189 MiB,105 MiB,132 MiB,,284 MiB,315 MiB,96.1 MiB
2026-07-30 03:15:30,19.3 MiB,8.25 MiB,8.07 MiB,,99.1 MiB,188 MiB,167 MiB,105 MiB,132 MiB,,285 MiB,280 MiB,91.2 MiB
2026-07-30 03:15:45,17.6 MiB,8.25 MiB,8.07 MiB,,99.1 MiB,188 MiB,167 MiB,105 MiB,132 MiB,,285 MiB,280 MiB,91.2 MiB
2026-07-30 03:16:00,18.4 MiB,8.24 MiB,8.07 MiB,,99.1 MiB,188 MiB,167 MiB,105 MiB,132 MiB,,285 MiB,280 MiB,91.2 MiB
2026-07-30 03:16:15,18.4 MiB,8.24 MiB,8.07 MiB,,99.1 MiB,188 MiB,167 MiB,105 MiB,132 MiB,,286 MiB,280 MiB,91.2 MiB
2026-07-30 03:16:30,17.2 MiB,8.21 MiB,8.07 MiB,,99.1 MiB,116 MiB,167 MiB,105 MiB,132 MiB,,284 MiB,280 MiB,97.5 MiB
2026-07-30 03:16:45,17.2 MiB,8.13 MiB,8.07 MiB,,99.1 MiB,116 MiB,167 MiB,105 MiB,132 MiB,,284 MiB,280 MiB,97.5 MiB
2026-07-30 03:17:00,18.5 MiB,8.27 MiB,8.07 MiB,,99.1 MiB,116 MiB,167 MiB,105 MiB,132 MiB,,285 MiB,280 MiB,97.5 MiB
2026-07-30 03:17:15,18.6 MiB,8.03 MiB,8.07 MiB,,99.1 MiB,116 MiB,107 MiB,105 MiB,107 MiB,,285 MiB,187 MiB,97.5 MiB
