"Time","cadvisor","charming_taussig","clever_vaughan","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 01:46:30,17.3 MiB,1.17 MiB,164 KiB,15.6 MiB,15.5 MiB,99.4 MiB,285 MiB,260 MiB,263 MiB,266 MiB,446 MiB,429 MiB,112 MiB
2026-07-29 01:46:45,17.4 MiB,1.17 MiB,164 KiB,16.1 MiB,16.1 MiB,99.4 MiB,294 MiB,274 MiB,268 MiB,279 MiB,449 MiB,429 MiB,112 MiB
2026-07-29 01:47:00,17.4 MiB,1.17 MiB,164 KiB,16.1 MiB,15.9 MiB,99.4 MiB,294 MiB,283 MiB,268 MiB,279 MiB,464 MiB,437 MiB,112 MiB
2026-07-29 01:47:15,16.9 MiB,1.17 MiB,164 KiB,15.8 MiB,15.8 MiB,99.7 MiB,294 MiB,280 MiB,268 MiB,280 MiB,477 MiB,447 MiB,112 MiB
2026-07-29 01:47:30,18.2 MiB,1.17 MiB,164 KiB,15.5 MiB,16.3 MiB,99.8 MiB,302 MiB,280 MiB,271 MiB,283 MiB,481 MiB,460 MiB,112 MiB
2026-07-29 01:47:45,18.1 MiB,1.17 MiB,164 KiB,16.1 MiB,16.3 MiB,99.8 MiB,315 MiB,293 MiB,284 MiB,293 MiB,484 MiB,466 MiB,112 MiB
2026-07-29 01:48:00,17.9 MiB,1.17 MiB,164 KiB,16.0 MiB,16.0 MiB,99.8 MiB,326 MiB,293 MiB,295 MiB,303 MiB,499 MiB,471 MiB,112 MiB
2026-07-29 01:48:15,17.4 MiB,1.17 MiB,164 KiB,15.6 MiB,16.1 MiB,99.8 MiB,337 MiB,309 MiB,295 MiB,307 MiB,502 MiB,477 MiB,112 MiB
2026-07-29 01:48:30,17.4 MiB,1.17 MiB,164 KiB,15.6 MiB,7.33 MiB,99.6 MiB,141 MiB,123 MiB,125 MiB,123 MiB,192 MiB,184 MiB,112 MiB
2026-07-29 01:48:45,18.5 MiB,1.17 MiB,164 KiB,7.22 MiB,7.33 MiB,99.6 MiB,141 MiB,123 MiB,125 MiB,123 MiB,203 MiB,191 MiB,112 MiB
2026-07-29 01:49:00,19.0 MiB,1.17 MiB,164 KiB,7.70 MiB,7.44 MiB,99.6 MiB,148 MiB,129 MiB,130 MiB,130 MiB,212 MiB,200 MiB,107 MiB
2026-07-29 01:49:15,19.7 MiB,1.17 MiB,,7.79 MiB,7.37 MiB,99.6 MiB,148 MiB,133 MiB,130 MiB,133 MiB,213 MiB,200 MiB,107 MiB
2026-07-29 01:49:30,20.4 MiB,,,7.33 MiB,7.28 MiB,99.6 MiB,172 MiB,133 MiB,145 MiB,146 MiB,215 MiB,211 MiB,107 MiB
2026-07-29 01:49:45,20.4 MiB,,,7.33 MiB,7.32 MiB,99.6 MiB,171 MiB,159 MiB,160 MiB,164 MiB,215 MiB,221 MiB,107 MiB
2026-07-29 01:50:00,19.1 MiB,,,7.45 MiB,7.28 MiB,99.6 MiB,171 MiB,162 MiB,163 MiB,164 MiB,222 MiB,221 MiB,107 MiB
2026-07-29 01:50:15,17.5 MiB,,,7.61 MiB,7.54 MiB,99.6 MiB,172 MiB,162 MiB,163 MiB,164 MiB,234 MiB,227 MiB,107 MiB
2026-07-29 01:50:30,19.0 MiB,,,7.61 MiB,7.83 MiB,99.6 MiB,174 MiB,166 MiB,167 MiB,167 MiB,234 MiB,227 MiB,107 MiB
2026-07-29 01:50:45,21.3 MiB,,,7.62 MiB,7.83 MiB,99.6 MiB,178 MiB,166 MiB,168 MiB,168 MiB,234 MiB,230 MiB,107 MiB
2026-07-29 01:51:00,21.3 MiB,,,7.67 MiB,7.83 MiB,99.6 MiB,178 MiB,161 MiB,160 MiB,168 MiB,235 MiB,230 MiB,113 MiB
2026-07-29 01:51:15,17.6 MiB,,,7.60 MiB,7.63 MiB,99.6 MiB,175 MiB,161 MiB,164 MiB,165 MiB,238 MiB,234 MiB,108 MiB
2026-07-29 01:51:30,18.0 MiB,,,8.46 MiB,9.03 MiB,99.6 MiB,182 MiB,168 MiB,164 MiB,165 MiB,238 MiB,234 MiB,108 MiB
2026-07-29 01:51:45,18.0 MiB,,,7.71 MiB,7.78 MiB,99.6 MiB,169 MiB,163 MiB,165 MiB,171 MiB,247 MiB,234 MiB,108 MiB
2026-07-29 01:52:00,19.6 MiB,,,7.52 MiB,7.78 MiB,99.6 MiB,171 MiB,164 MiB,173 MiB,162 MiB,248 MiB,239 MiB,108 MiB
2026-07-29 01:52:15,17.6 MiB,,,8.49 MiB,9.00 MiB,99.6 MiB,182 MiB,167 MiB,167 MiB,168 MiB,250 MiB,237 MiB,108 MiB
2026-07-29 01:52:30,17.2 MiB,,,8.00 MiB,8.18 MiB,99.6 MiB,181 MiB,167 MiB,167 MiB,164 MiB,251 MiB,240 MiB,108 MiB
